date,symbol,direction,pnl,outcome,rr,notes
2024-01-02,BTCUSD,long,1250,win,12.5,Crypto breakout held overnight
2024-01-03,EURUSD,long,180,win,1.8,Standard forex setup
2024-01-04,GBPUSD,short,-120,loss,-1.2,Small loss quick cut
2024-01-05,XAUUSD,long,2100,win,21.0,Gold runner let it ride
2024-01-08,USDJPY,long,220,win,2.2,Normal win
2024-01-09,GBPJPY,short,340,win,3.4,Decent reversal
2024-01-10,ETHUSD,long,1850,win,18.5,ETH pump massive win
2024-01-11,EURUSD,short,-90,loss,-0.9,Tight stop hit
2024-01-12,AUDUSD,long,150,win,1.5,Quick scalp
2024-01-15,NAS100,long,3200,win,32.0,Tech rally held all day
2024-01-16,GBPUSD,long,-150,loss,-1.5,Wrong direction
2024-01-17,USDJPY,short,280,win,2.8,Clean setup
2024-01-18,XAUUSD,short,1680,win,16.8,Gold reversal caught perfectly
2024-01-19,EURUSD,long,190,win,1.9,Bread and butter trade
2024-01-22,GBPJPY,long,-200,loss,-2.0,Stopped at lows
2024-01-23,BTCUSD,short,2450,win,24.5,Bitcoin dump caught the whole move
2024-01-24,NZDUSD,long,130,win,1.3,Small win
2024-01-25,AUDUSD,short,-110,loss,-1.1,Quick stop
2024-01-26,US30,long,2800,win,28.0,Dow ripped all session
2024-01-29,EURUSD,short,210,win,2.1,Reversal play
2024-01-30,GBPUSD,long,-180,loss,-1.8,News spike
2024-01-31,USDJPY,long,320,win,3.2,Month end positioning
2024-02-01,SPX500,long,3500,win,35.0,Fed day moon mission
2024-02-02,EURUSD,long,170,win,1.7,Standard setup
2024-02-05,GBPJPY,short,290,win,2.9,Clean breakdown
2024-02-06,XAUUSD,long,1920,win,19.2,Gold news spike caught it
2024-02-07,AUDUSD,long,-140,loss,-1.4,Choppy market
2024-02-08,BTCUSD,long,2680,win,26.8,BTC breakout added on pullback
2024-02-09,USDJPY,short,250,win,2.5,Yen strength
2024-02-12,EURUSD,long,200,win,2.0,Trend continuation
2024-02-13,NAS100,short,2950,win,29.5,Tech selloff shorted the bounce
2024-02-14,GBPUSD,short,-160,loss,-1.6,Valentines chop
2024-02-15,NZDUSD,long,140,win,1.4,Small mover
2024-02-16,ETHUSD,short,2200,win,22.0,ETH breakdown perfect entry
2024-02-19,EURUSD,short,230,win,2.3,Dollar strength play
2024-02-20,GBPJPY,long,360,win,3.6,Momentum burst
2024-02-21,US30,short,3100,win,31.0,Dow crash day caught early
2024-02-22,AUDUSD,long,-130,loss,-1.3,Aussie weakness missed
2024-02-23,USDJPY,long,280,win,2.8,BOJ positioning
2024-02-26,XAUUSD,long,2350,win,23.5,Gold safe haven flow
2024-02-27,EURUSD,long,190,win,1.9,End of month flow
2024-02-28,BTCUSD,long,3800,win,38.0,BTC halving anticipation mega run
